0; 100_100_0.7_0.1_5;1006,9443;;;;;;;;;;
1; 100_100_0.7_0.1_5;1060,4319;;;;;;;;;;
2; 100_100_0.7_0.1_5;1103,8748;;;;;;;;;;
3; 100_100_0.7_0.1_5;928,79614;;;;;;;;;;
4; 100_100_0.7_0.1_5;914,8461;;;;;;;;;;
5; 100_100_0.7_0.1_5;1086,5385;;;;;;;;;;
6; 100_100_0.7_0.1_5;1051,4495;;;;;;;;;;
7; 100_100_0.7_0.1_5;1094,179;;;;;;;;;;
8; 100_100_0.7_0.1_5;935,16785;;Best;Worst;Average;;;;Best;Worst;Average
9; 100_100_0.7_0.1_5;1041,5784;;914,8461;1103,8748;1022,380649;;;;914,8461;1103,8748;1022,380649
0; 150_100_0.7_0.1_5;905,3441;;;;;;;;843,47614;1011,97974;931,609841
1; 150_100_0.7_0.1_5;843,47614;;;;;;;;858,0743;964,95874;906,709483
2; 150_100_0.7_0.1_5;916,5094;;;;;;;;826,42126;995,078;899,560712
3; 150_100_0.7_0.1_5;1003,90875;;;;;;;;863,4626;1082,726;942,959109
4; 150_100_0.7_0.1_5;903,68896;;;;;;;;810,57355;966,05927;882,878344
5; 150_100_0.7_0.1_5;1011,97974;;;;;;;;845,7122;917,44464;881,717064
6; 150_100_0.7_0.1_5;955,6966;;;;;;;;806,7558;954,5415;904,572696
7; 150_100_0.7_0.1_5;924,28186;;;;;;;;820,2431;1017,36255;873,589725
8; 150_100_0.7_0.1_5;935,41;;Best;Worst;Average;;;;846,5702;1433,7601;957,485353
9; 150_100_0.7_0.1_5;915,80286;;843,47614;1011,97974;931,609841;;;;836,811;1562,8082;953,562066
0; 200_100_0.7_0.1_5;907,70135;;;;;;;;839,22205;1454,2997;932,85294
1; 200_100_0.7_0.1_5;964,95874;;;;;;;;837,3199;1407,422;945,289222
2; 200_100_0.7_0.1_5;858,0743;;;;;;;;823,9524;1898,6246;1057,191008
3; 200_100_0.7_0.1_5;897,66974;;;;;;;;829,8987;1910,1285;980,580065
4; 200_100_0.7_0.1_5;874,0124;;;;;;;;830,6181;1964,5587;972,23202
5; 200_100_0.7_0.1_5;960,0535;;;;;;;;826,82526;1499,0165;937,545764
6; 200_100_0.7_0.1_5;874,46533;;;;;;;;803,311;1780,736;959,268393
7; 200_100_0.7_0.1_5;957,3972;;;;;;;;830,1231;1919,6963;1033,750187
8; 200_100_0.7_0.1_5;882,5119;;Best;Worst;Average;;;;;;
9; 200_100_0.7_0.1_5;890,25037;;858,0743;964,95874;906,709483;;;;;;
0; 250_100_0.7_0.1_5;995,078;;;;;;;;;;
1; 250_100_0.7_0.1_5;916,9709;;;;;;;;;;
2; 250_100_0.7_0.1_5;865,3808;;;;;;;;;;
3; 250_100_0.7_0.1_5;826,42126;;;;;;;;;;
4; 250_100_0.7_0.1_5;920,9335;;;;;;;;;;
5; 250_100_0.7_0.1_5;897,05505;;;;;;;;;;
6; 250_100_0.7_0.1_5;894,12177;;;;;;;;;;
7; 250_100_0.7_0.1_5;885,6394;;;;;;;;;;
8; 250_100_0.7_0.1_5;855,76434;;Best;Worst;Average;;;;;;
9; 250_100_0.7_0.1_5;938,2421;;826,42126;995,078;899,560712;;;;;;
0; 300_100_0.7_0.1_5;946,88684;;;;;;;;;;
1; 300_100_0.7_0.1_5;870,3081;;;;;;;;;;
2; 300_100_0.7_0.1_5;865,26575;;;;;;;;;;
3; 300_100_0.7_0.1_5;985,54675;;;;;;;;;;
4; 300_100_0.7_0.1_5;863,4626;;;;;;;;;;
5; 300_100_0.7_0.1_5;1032,9288;;;;;;;;;;
6; 300_100_0.7_0.1_5;879,81995;;;;;;;;;;
7; 300_100_0.7_0.1_5;1082,726;;;;;;;;;;
8; 300_100_0.7_0.1_5;928,47424;;Best;Worst;Average;;;;;;
9; 300_100_0.7_0.1_5;974,17206;;863,4626;1082,726;942,959109;;;;;;
0; 350_100_0.7_0.1_5;911,6264;;;;;;;;;;
1; 350_100_0.7_0.1_5;923,47363;;;;;;;;;;
2; 350_100_0.7_0.1_5;827,62317;;;;;;;;;;
3; 350_100_0.7_0.1_5;917,25995;;;;;;;;;;
4; 350_100_0.7_0.1_5;966,05927;;;;;;;;;;
5; 350_100_0.7_0.1_5;865,0871;;;;;;;;;;
6; 350_100_0.7_0.1_5;810,57355;;;;;;;;;;
7; 350_100_0.7_0.1_5;881,03217;;;;;;;;;;
8; 350_100_0.7_0.1_5;866,4832;;Best;Worst;Average;;;;;;
9; 350_100_0.7_0.1_5;859,565;;810,57355;966,05927;882,878344;;;;;;
0; 400_100_0.7_0.1_5;855,8378;;;;;;;;;;
1; 400_100_0.7_0.1_5;896,69006;;;;;;;;;;
2; 400_100_0.7_0.1_5;886,37305;;;;;;;;;;
3; 400_100_0.7_0.1_5;893,14166;;;;;;;;;;
4; 400_100_0.7_0.1_5;906,1783;;;;;;;;;;
5; 400_100_0.7_0.1_5;856,91437;;;;;;;;;;
6; 400_100_0.7_0.1_5;845,7122;;;;;;;;;;
7; 400_100_0.7_0.1_5;912,79126;;;;;;;;;;
8; 400_100_0.7_0.1_5;917,44464;;Best;Worst;Average;;;;;;
9; 400_100_0.7_0.1_5;846,0873;;845,7122;917,44464;881,717064;;;;;;
0; 450_100_0.7_0.1_5;942,78235;;;;;;;;;;
1; 450_100_0.7_0.1_5;954,5415;;;;;;;;;;
2; 450_100_0.7_0.1_5;889,1424;;;;;;;;;;
3; 450_100_0.7_0.1_5;923,05316;;;;;;;;;;
4; 450_100_0.7_0.1_5;915,406;;;;;;;;;;
5; 450_100_0.7_0.1_5;806,7558;;;;;;;;;;
6; 450_100_0.7_0.1_5;944,25964;;;;;;;;;;
7; 450_100_0.7_0.1_5;866,92456;;;;;;;;;;
8; 450_100_0.7_0.1_5;906,1157;;Best;Worst;Average;;;;;;
9; 450_100_0.7_0.1_5;896,74585;;806,7558;954,5415;904,572696;;;;;;
0; 500_100_0.7_0.1_5;847,4922;;;;;;;;;;
1; 500_100_0.7_0.1_5;890,7716;;;;;;;;;;
2; 500_100_0.7_0.1_5;869,6624;;;;;;;;;;
3; 500_100_0.7_0.1_5;843,38934;;;;;;;;;;
4; 500_100_0.7_0.1_5;830,2153;;;;;;;;;;
5; 500_100_0.7_0.1_5;820,2431;;;;;;;;;;
6; 500_100_0.7_0.1_5;849,1907;;;;;;;;;;
7; 500_100_0.7_0.1_5;1017,36255;;;;;;;;;;
8; 500_100_0.7_0.1_5;916,40686;;Best;Worst;Average;;;;;;
9; 500_100_0.7_0.1_5;851,1632;;820,2431;1017,36255;873,589725;;;;;;
0; 550_100_0.7_0.1_5;908,3233;;;;;;;;;;
1; 550_100_0.7_0.1_5;846,5702;;;;;;;;;;
2; 550_100_0.7_0.1_5;917,20703;;;;;;;;;;
3; 550_100_0.7_0.1_5;896,886;;;;;;;;;;
4; 550_100_0.7_0.1_5;853,2051;;;;;;;;;;
5; 550_100_0.7_0.1_5;897,23376;;;;;;;;;;
6; 550_100_0.7_0.1_5;906,4656;;;;;;;;;;
7; 550_100_0.7_0.1_5;933,593;;;;;;;;;;
8; 550_100_0.7_0.1_5;981,60944;;Best;Worst;Average;;;;;;
9; 550_100_0.7_0.1_5;1433,7601;;846,5702;1433,7601;957,485353;;;;;;
0; 600_100_0.7_0.1_5;871,75073;;;;;;;;;;
1; 600_100_0.7_0.1_5;1562,8082;;;;;;;;;;
2; 600_100_0.7_0.1_5;874,41376;;;;;;;;;;
3; 600_100_0.7_0.1_5;836,811;;;;;;;;;;
4; 600_100_0.7_0.1_5;981,98474;;;;;;;;;;
5; 600_100_0.7_0.1_5;844,83026;;;;;;;;;;
6; 600_100_0.7_0.1_5;886,88617;;;;;;;;;;
7; 600_100_0.7_0.1_5;891,44745;;;;;;;;;;
8; 600_100_0.7_0.1_5;873,7998;;Best;Worst;Average;;;;;;
9; 600_100_0.7_0.1_5;910,88855;;836,811;1562,8082;953,562066;;;;;;
0; 650_100_0.7_0.1_5;903,3459;;;;;;;;;;
1; 650_100_0.7_0.1_5;841,01654;;;;;;;;;;
2; 650_100_0.7_0.1_5;839,22205;;;;;;;;;;
3; 650_100_0.7_0.1_5;845,1861;;;;;;;;;;
4; 650_100_0.7_0.1_5;866,27136;;;;;;;;;;
5; 650_100_0.7_0.1_5;1454,2997;;;;;;;;;;
6; 650_100_0.7_0.1_5;907,7074;;;;;;;;;;
7; 650_100_0.7_0.1_5;858,00745;;;;;;;;;;
8; 650_100_0.7_0.1_5;969,4551;;Best;Worst;Average;;;;;;
9; 650_100_0.7_0.1_5;844,0178;;839,22205;1454,2997;932,85294;;;;;;
0; 700_100_0.7_0.1_5;838,7254;;;;;;;;;;
1; 700_100_0.7_0.1_5;972,8981;;;;;;;;;;
2; 700_100_0.7_0.1_5;1407,422;;;;;;;;;;
3; 700_100_0.7_0.1_5;1049,3221;;;;;;;;;;
4; 700_100_0.7_0.1_5;912,84717;;;;;;;;;;
5; 700_100_0.7_0.1_5;884,2429;;;;;;;;;;
6; 700_100_0.7_0.1_5;860,73035;;;;;;;;;;
7; 700_100_0.7_0.1_5;844,2129;;;;;;;;;;
8; 700_100_0.7_0.1_5;845,1714;;Best;Worst;Average;;;;;;
9; 700_100_0.7_0.1_5;837,3199;;837,3199;1407,422;945,289222;;;;;;
0; 750_100_0.7_0.1_5;1898,6246;;;;;;;;;;
1; 750_100_0.7_0.1_5;823,9524;;;;;;;;;;
2; 750_100_0.7_0.1_5;955,9116;;;;;;;;;;
3; 750_100_0.7_0.1_5;886,613;;;;;;;;;;
4; 750_100_0.7_0.1_5;840,795;;;;;;;;;;
5; 750_100_0.7_0.1_5;856,14954;;;;;;;;;;
6; 750_100_0.7_0.1_5;893,3858;;;;;;;;;;
7; 750_100_0.7_0.1_5;935,6885;;;;;;;;;;
8; 750_100_0.7_0.1_5;1580,4216;;Best;Worst;Average;;;;;;
9; 750_100_0.7_0.1_5;900,36804;;823,9524;1898,6246;1057,191008;;;;;;
0; 800_100_0.7_0.1_5;829,8987;;;;;;;;;;
1; 800_100_0.7_0.1_5;851,2643;;;;;;;;;;
2; 800_100_0.7_0.1_5;894,0441;;;;;;;;;;
3; 800_100_0.7_0.1_5;850,9068;;;;;;;;;;
4; 800_100_0.7_0.1_5;954,5414;;;;;;;;;;
5; 800_100_0.7_0.1_5;837,5027;;;;;;;;;;
6; 800_100_0.7_0.1_5;1910,1285;;;;;;;;;;
7; 800_100_0.7_0.1_5;904,82025;;;;;;;;;;
8; 800_100_0.7_0.1_5;872,8051;;Best;Worst;Average;;;;;;
9; 800_100_0.7_0.1_5;899,8888;;829,8987;1910,1285;980,580065;;;;;;
0; 850_100_0.7_0.1_5;859,44684;;;;;;;;;;
1; 850_100_0.7_0.1_5;1964,5587;;;;;;;;;;
2; 850_100_0.7_0.1_5;836,06305;;;;;;;;;;
3; 850_100_0.7_0.1_5;846,8328;;;;;;;;;;
4; 850_100_0.7_0.1_5;840,94403;;;;;;;;;;
5; 850_100_0.7_0.1_5;830,6181;;;;;;;;;;
6; 850_100_0.7_0.1_5;863,2291;;;;;;;;;;
7; 850_100_0.7_0.1_5;855,8766;;;;;;;;;;
8; 850_100_0.7_0.1_5;842,35254;;Best;Worst;Average;;;;;;
9; 850_100_0.7_0.1_5;982,39844;;830,6181;1964,5587;972,23202;;;;;;
0; 900_100_0.7_0.1_5;868,93146;;;;;;;;;;
1; 900_100_0.7_0.1_5;1499,0165;;;;;;;;;;
2; 900_100_0.7_0.1_5;870,10236;;;;;;;;;;
3; 900_100_0.7_0.1_5;826,82526;;;;;;;;;;
4; 900_100_0.7_0.1_5;832,8249;;;;;;;;;;
5; 900_100_0.7_0.1_5;901,026;;;;;;;;;;
6; 900_100_0.7_0.1_5;836,402;;;;;;;;;;
7; 900_100_0.7_0.1_5;841,3784;;;;;;;;;;
8; 900_100_0.7_0.1_5;916,88556;;Best;Worst;Average;;;;;;
9; 900_100_0.7_0.1_5;982,0652;;826,82526;1499,0165;937,545764;;;;;;
0; 950_100_0.7_0.1_5;866,29065;;;;;;;;;;
1; 950_100_0.7_0.1_5;1780,736;;;;;;;;;;
2; 950_100_0.7_0.1_5;857,80707;;;;;;;;;;
3; 950_100_0.7_0.1_5;856,35254;;;;;;;;;;
4; 950_100_0.7_0.1_5;918,9596;;;;;;;;;;
5; 950_100_0.7_0.1_5;871,36163;;;;;;;;;;
6; 950_100_0.7_0.1_5;862,87854;;;;;;;;;;
7; 950_100_0.7_0.1_5;840,1815;;;;;;;;;;
8; 950_100_0.7_0.1_5;803,311;;Best;Worst;Average;;;;;;
9; 950_100_0.7_0.1_5;934,8054;;803,311;1780,736;959,268393;;;;;;
0; 1000_100_0.7_0.1_5;1919,6963;;;;;;;;;;
1; 1000_100_0.7_0.1_5;930,8794;;;;;;;;;;
2; 1000_100_0.7_0.1_5;1450,1405;;;;;;;;;;
3; 1000_100_0.7_0.1_5;830,1231;;;;;;;;;;
4; 1000_100_0.7_0.1_5;898,5499;;;;;;;;;;
5; 1000_100_0.7_0.1_5;830,27905;;;;;;;;;;
6; 1000_100_0.7_0.1_5;906,06665;;;;;;;;;;
7; 1000_100_0.7_0.1_5;880,64197;;;;;;;;;;
8; 1000_100_0.7_0.1_5;842,6182;;Best;Worst;Average;;;;;;
9; 1000_100_0.7_0.1_5;848,5068;;830,1231;1919,6963;1033,750187;;;;;;
